Afghanistan,Kabul,Asia
Albania,Tirana,Europe
Algeria,Algiers,Africa
American Samoa,Pago Pago,Oceania
Andorra,Andorra la Vella,Europe
Angola,Luanda,Africa
Anguilla,The Valley,
Antigua and Barbuda,St. John's,North America
Argentina,Buenos Aires,South America
Armenia,Yerevan,Europe
Aruba,Oranjestad,
Ascension Island,Georgetown,
Australia,Canberra,Oceania
Austria,Vienna,Europe
Azerbaijan,Baku,Europe
Bahamas,Nassau,North America
Bahrain,Manama,Asia
Bangladesh,Dhaka,Asia
Barbados,Bridgetown,North America
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Belize,Belmopan,North America
Benin,Porto-Novo,Africa
Bermuda,Hamilton,
Bhutan,Thimphu,Asia
Bolivia,La Paz,South America
Bosnia and Herzegovina,Sarajevo,Europe
Botswana,Gaborone,Africa
Brazil,Brasília,South America
British Virgin Islands,Road Town,
Brunei,Bandar Seri Begawan,Asia
Bulgaria,Sofia,Europe
Burkina Faso,Ouagadougou,Africa
Burundi,Bujumbura,Africa
Cambodia,Phnom Penh,Asia
Cameroon,Yaoundé,Africa
Canada,Ottawa,North America
Cape Verde,Praia,Africa
Cayman Islands,George Town,
Central African Republic,Bangui,Africa
Chad,N'Djamena,Africa
Chile,Santiago,South America
China,Beijing,Asia
Christmas Island,Flying Fish Cove,
Cocos (Keeling) Islands,West Island,
Colombia,Bogotá,South America
Comoros,Moroni,Africa
Cook Islands,Avarua,
Costa Rica,San José,North America
Croatia,Zagreb,Europe
Cuba,Havana,North America
Curaçao,Willemstad,
Cyprus,Nicosia,Europe
Czech Republic,Prague,Europe
Côte d'Ivoire,Yamoussoukro,
Democratic Republic of the Congo,Kinshasa,Africa
Denmark,Copenhagen,Europe
Djibouti,Djibouti,Africa
Dominica,Roseau,North America
Dominican Republic,Santo Domingo,North America
East Timor (Timor-Leste),Dili,Asia
Easter Island,Hanga Roa,
Ecuador,Quito,South America
Egypt,Cairo,Africa
El Salvador,San Salvador,North America
Equatorial Guinea,Malabo,Africa
Eritrea,Asmara,Africa
Estonia,Tallinn,Europe
Ethiopia,Addis Ababa,Africa
Falkland Islands,Stanley,
Faroe Islands,Tórshavn,
Federated States of Micronesia,Palikir,
Fiji,Suva,Oceania
Finland,Helsinki,Europe
France,Paris,Europe
French Guiana,Cayenne,
French Polynesia,Papeete,
Gabon,Libreville,Africa
Gambia,Banjul,Africa
Georgia,Tbilisi,Europe
Germany,Berlin,Europe
Ghana,Accra,Africa
Gibraltar,Gibraltar,
Greece,Athens,Europe
Greenland,Nuuk,Europe
Grenada,St. George's,North America
Guam,Hagåtña,
Guatemala,Guatemala City,North America
Guernsey,St. Peter Port,
Guinea,Conakry,Africa
Guinea-Bissau,Bissau,Africa
Guyana,Georgetown,South America
Haiti,Port-au-Prince,North America
Honduras,Tegucigalpa,North America
Hungary,Budapest,Europe
Iceland,Reykjavík,Europe
India,New Delhi,Asia
Indonesia,Jakarta,Asia
Iran,Tehran,Asia
Iraq,Baghdad,Asia
Ireland,Dublin,Europe
Isle of Man,Douglas,Europe
Israel,Jerusalem,Asia
Italy,Rome,Europe
Ivory Coast,Yamoussoukro,Africa
Jamaica,Kingston,North America
Japan,Tokyo,Asia
Jersey,St. Helier,
Jordan,Amman,Asia
Kazakhstan,Astana,Asia
Kenya,Nairobi,Africa
Kiribati,Tarawa,
Kosovo,Pristina,Europe
Kuwait,Kuwait City,Asia
Kyrgyzstan,Bishkek,
Laos,Vientiane,Asia
Latvia,Riga,Europe
Lebanon,Beirut,Asia
Lesotho,Maseru,Africa
Liberia,Monrovia,Africa
Libya,Tripoli,Africa
Liechtenstein,Vaduz,
Lithuania,Vilnius,
